Province_State,Country_Region,Date,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Active_Diff
South Carolina,US,6/13/2020,34.22333378,-82.46170658,63,0,0,63,0
Louisiana,US,6/13/2020,30.295064899999996,-92.41419698,577,31,0,546,0
Virginia,US,6/13/2020,37.76707161,-75.63234615,989,14,0,975,0
Idaho,US,6/13/2020,43.4526575,-116.24155159999998,877,22,0,855,0
Iowa,US,6/13/2020,41.33075609,-94.47105874,11,0,0,11,0
Kentucky,US,6/13/2020,37.10459774,-85.28129668,101,19,0,82,0
Missouri,US,6/13/2020,40.19058551,-92.60078167,80,0,0,80,0
Oklahoma,US,6/13/2020,35.88494195,-94.65859267,96,4,0,92,0
Colorado,US,6/13/2020,39.87432092,-104.3362578,3729,144,0,3585,0
Idaho,US,6/13/2020,44.89333571,-116.4545247,4,0,0,4,0
Illinois,US,6/13/2020,39.98815591,-91.18786813,45,1,0,44,0
Indiana,US,6/13/2020,40.7457653,-84.93671406,25,1,0,24,0
Iowa,US,6/13/2020,41.02903567,-94.69932645,7,0,0,7,0
Mississippi,US,6/13/2020,31.47669768,-91.35326037,225,17,0,208,0
Nebraska,US,6/13/2020,40.52449420000001,-98.50117804,278,11,0,267,0
Ohio,US,6/13/2020,38.84541072,-83.4718964,14,1,0,13,0
Pennsylvania,US,6/13/2020,39.87140411,-77.21610347,289,9,0,280,0
Washington,US,6/13/2020,46.98299757,-118.56017340000001,90,0,0,90,0
Wisconsin,US,6/13/2020,43.96974651,-89.76782777,7,1,0,6,0
Vermont,US,6/13/2020,44.03217337,-73.14130877,66,2,0,64,0
South Carolina,US,6/13/2020,33.54338026,-81.63645384,228,9,0,219,0
Minnesota,US,6/13/2020,46.60962049,-93.41168259999999,13,0,0,13,0
Florida,US,6/13/2020,29.67866525,-82.35928158,531,10,0,521,0
North Carolina,US,6/13/2020,36.0434701,-79.39976137,700,32,0,668,0
California,US,6/13/2020,37.64629437,-121.8929271,4217,109,0,4108,0
Colorado,US,6/13/2020,37.57250606,-105.7885451,116,2,0,114,0
New York,US,6/13/2020,42.60060306,-73.97723916,2016,118,0,1898,0
Wyoming,US,6/13/2020,41.65498705,-105.72354150000001,26,0,0,26,0
Virginia,US,6/13/2020,38.02080697,-78.55481085,275,8,0,267,0
Michigan,US,6/13/2020,44.6846864,-83.59507875,21,1,0,20,0
Mississippi,US,6/13/2020,34.88084463,-88.57996173,29,1,0,28,0
Illinois,US,6/13/2020,37.18049267,-89.32910838,17,0,0,17,0
North Carolina,US,6/13/2020,35.922379600000006,-81.17751948,48,0,0,48,0
Virginia,US,6/13/2020,38.814003,-77.08183073,2134,48,0,2086,0
Oklahoma,US,6/13/2020,36.73090616,-98.32408495,1,0,0,1,0
Michigan,US,6/13/2020,46.41292944,-86.60260122,1,0,0,1,0
Iowa,US,6/13/2020,43.28383218,-91.37860922,121,4,0,117,0
Michigan,US,6/13/2020,42.59147037,-85.89102866,283,6,0,277,0
Maryland,US,6/13/2020,39.62357628,-78.69280486,187,17,0,170,0
New York,US,6/13/2020,42.25748406,-78.02750466,54,0,0,54,0
North Carolina,US,6/13/2020,36.49360862,-81.12857041,30,0,0,30,0
Virginia,US,6/13/2020,37.78636074,-80.00222498,28,2,0,26,0
Pennsylvania,US,6/13/2020,40.46809875,-79.98167747,2076,172,0,1904,0
Indiana,US,6/13/2020,41.09194313,-85.06800636,2168,80,0,2088,0
Kansas,US,6/13/2020,37.88582951,-95.30030847,2,0,0,2,0
Kentucky,US,6/13/2020,36.75197631,-86.19457544,132,3,0,129,0
Louisiana,US,6/13/2020,30.65385745,-92.82442028,210,10,0,200,0
Ohio,US,6/13/2020,40.77285242,-84.10802343,238,35,0,203,0
South Carolina,US,6/13/2020,32.98837386,-81.35321066,40,3,0,37,0
